Sample,Condition,Cell_Line
GSM9959582_ETP5-CART28-UNT,PDX_Xenograft,Patient_Derived
GSM9959591_MOLT4_WT_3,Wild_Type,MOLT4
GSM9959595_HPB_WT_1,Wild_Type,HPB
GSM9959584_TH34-UNT,PDX_Xenograft,Patient_Derived
GSM9959600_HPB_KO_3,Knockout,HPB
GSM9959587_TH67-UNT1,PDX_Xenograft,Patient_Derived
GSM9959589_MOLT4_WT_1,Wild_Type,MOLT4
GSM9959590_MOLT4_WT_2,Wild_Type,MOLT4
GSM9959596_HPB_WT_2,Wild_Type,HPB
GSM9959597_HPB_WT_3,Wild_Type,HPB
GSM9959598_HPB_KO_1,Knockout,HPB
GSM9959592_MOLT4_KO_1,Knockout,MOLT4
GSM9959593_MOLT4_KO_2,Knockout,MOLT4
GSM9959599_HPB_KO_2,Knockout,HPB
GSM9959588_TH67_UNT2,PDX_Xenograft,Patient_Derived
GSM9959581_ETP1_UNT,PDX_Xenograft,Patient_Derived
GSM9959585_TH75_UNT,PDX_Xenograft,Patient_Derived
GSM9959583_ETP5-GFP-CBG-UTD,PDX_Xenograft,Patient_Derived
GSM9959586_TH75_UTD,PDX_Xenograft,Patient_Derived
GSM9959579_ALL8GFP-CBG-UNT,PDX_Xenograft,Patient_Derived
GSM9959594_MOLT4_KO_3,Knockout,MOLT4
GSM9959580_ALL33_UTD,PDX_Xenograft,Patient_Derived
